date,close,series
2018-08-16,25558.73,DJIA
2018-08-17,25669.32,DJIA
2018-08-20,25758.69,DJIA
2018-08-21,25822.29,DJIA
2018-08-22,25733.6,DJIA
2018-08-23,25656.98,DJIA
2018-08-24,25790.35,DJIA
2018-08-27,26049.64,DJIA
2018-08-28,26064.02,DJIA
2018-08-29,26124.57,DJIA
2018-08-30,25986.92,DJIA
2018-08-31,25964.82,DJIA
2018-09-03,,DJIA
2018-09-04,25952.48,DJIA
2018-09-05,25974.99,DJIA
2018-09-06,25995.87,DJIA
2018-09-07,25916.54,DJIA
2018-09-10,25857.07,DJIA
2018-09-11,25971.06,DJIA
2018-09-12,25998.92,DJIA
2018-09-13,26145.99,DJIA
2018-09-14,26154.67,DJIA
2018-09-17,26062.12,DJIA
2018-09-18,26246.96,DJIA
2018-09-19,26405.76,DJIA
2018-09-20,26656.98,DJIA
2018-09-21,26743.5,DJIA
2018-09-24,26562.05,DJIA
2018-09-25,26492.21,DJIA
2018-09-26,26385.28,DJIA
2018-09-27,26439.93,DJIA
2018-09-28,26458.31,DJIA
2018-10-01,26651.21,DJIA
2018-10-02,26773.94,DJIA
2018-10-03,26828.39,DJIA
2018-10-04,26627.48,DJIA
2018-10-05,26447.05,DJIA
2018-10-08,26486.78,DJIA
2018-10-09,26430.57,DJIA
2018-10-10,25598.74,DJIA
2018-10-11,25052.83,DJIA
2018-10-12,25339.99,DJIA
2018-10-15,25250.55,DJIA
2018-10-16,25798.42,DJIA
2018-10-17,25706.68,DJIA
2018-10-18,25379.45,DJIA
2018-10-19,25444.34,DJIA
2018-10-22,25317.41,DJIA
2018-10-23,25191.43,DJIA
2018-10-24,24583.42,DJIA
2018-10-25,24984.55,DJIA
2018-10-26,24688.31,DJIA
2018-10-29,24442.92,DJIA
2018-10-30,24874.64,DJIA
2018-10-31,25115.76,DJIA
2018-11-01,25380.74,DJIA
2018-11-02,25270.83,DJIA
2018-11-05,25461.7,DJIA
